"id","label","text"
"cdc102f5-88b2-4f1c-ba7d-9970ac9669cd",0,"""You think I'm joking,"" he continued. """
"cb534c0b-5bea-4ade-b5da-cd766f6d5ab7",0,"Speaking about the ""Divine Nine"" — the nine black Greek fraternities and sororities — Biden told the crowd that he is ""not stupid,"" despite being white, because he knows where the ""power is."""
"1c03f90d-54c0-4a9b-9309-1818488d294f",0,"I know where the power is."""
"be0165c0-fd53-438a-8fda-bb04df7d12e2",1,"President Joe Biden made a bizarre race-related comment on Monday at a Black History Month event hosted at the White House."
"cd0a2226-c30d-428f-b29d-1e6344b618ac",0,"""And, by the way, you know I'm not — I may be a white boy, but I'm not stupid,"" he added, drawing laughter from the crowd. """
"f9d6c257-4cea-4006-9803-f39412469a3c",0,"are guaranteed to vote for them."
"2a166254-553b-4ce6-9ec4-21b2e721c449",0,"""When a party assumes it is entitled to every vote within a certain demographic, it will treat even the slightest sign of defection as an emergency, and that's what you're seeing in Democratic circles when it comes to black men defecting to the right,"" Squires wrote last fall."
"0b4f9c56-2907-4c4b-9621-7e463b159db6",1,"The full context, however, suggests that Biden admitted to spending ""so much time"" campaigning at Delaware State University — a historically black college — because he believed that currying favor with black voters would help him win elections."
"52dd2e62-9c7d-4358-9942-c5014ff65605",1,"The reality has become a five-alarm fire for Democrats, which is not surprising, according to Delano Squires."
"2b322b8f-7e4f-416b-b843-dca3ad93eb1d",0,"For decades, Democrats have been accused of assuming that certain demographics of voters — black, Hispanic, women, etc. —"
"22c02ade-a9fe-4fc1-8eaf-61dde8a6214d",0,"He was accused of suggesting that all white people are stupid and promoting self-hatred for white people."
"d1e34e63-9be3-40f3-8528-38d787f213be",1,"Biden infamously embodied that twisted idea when, while campaigning for president in 2020, he said that black voters aren't really black if they vote for Donald Trump."
"e6721319-83a9-4052-a8f5-6510bf8fd505",0,"""I'll tell you what: If you have a problem figuring out whether you're for me or Trump, then you ain't black,"" Biden said."
"eb519fd4-e20c-44f7-9b85-24b2fc194e74",0,"I learned a long time ago about the Divine Nine."
"7ee7fc57-180e-458a-b133-1c0fb06124a3",0,"And that's why I spent so much time at Delaware State, campaigning and organizing my campaign in Delaware."""
"ecc632fc-3d4c-4049-9330-ab2735558a10",0,"It's not immediately clear what Biden was trying to say."
"ac8538d2-1465-49ea-b4d2-3441657f0e61",0,"""I know real power when I see it: the Divine Nine,"" he said, thanking the presidents of the Greek letter organizations for their attendance."
"62beb5ff-ae3c-46c0-939d-6900744de47c",1,"That level of entitlement is behind Democrats' slipping control on black voters, as demonstrated by 2020 exit polls showing that, for example, just 79% of black men voted for Biden, a percentage that has been dropping since 2012."
